Season,Player,Team,GP,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,REB,AST,STL,BLK,TOV
2024-25,LaMelo Ball,CHO,47,32.0,25.2,21.3,0.405,11.2,0.339,4.9,0.843,4.9,7.4,1.1,0.3,3.6
2024-25,Brandon Miller,CHO,27,34.2,21.0,18.2,0.403,10.9,0.355,2.9,0.861,4.9,3.6,1.1,0.7,2.8
2024-25,Miles Bridges,CHO,64,31.7,20.3,17.0,0.431,7.0,0.313,4.0,0.870,7.5,3.9,0.7,0.7,2.1
2024-25,Mark Williams,CHO,44,26.6,15.3,10.2,0.604,0.1,0.000,3.7,0.804,10.2,2.5,0.7,1.2,1.6
2024-25,Tre Mann,CHO,13,24.5,14.1,12.4,0.435,4.6,0.400,1.6,0.905,2.9,3.0,0.5,0.3,1.9
2024-25,Grant Williams,CHO,16,29.9,10.4,7.7,0.439,4.6,0.365,2.3,0.838,5.1,2.3,1.1,0.8,1.8
2024-25,Nick Smith Jr.,CHO,60,22.8,9.9,9.5,0.391,5.1,0.340,0.8,0.935,2.1,2.4,0.3,0.1,1.4
2024-25,Jusuf Nurkic,CHO,26,18.1,9.2,7.3,0.497,1.8,0.283,2.3,0.627,6.5,2.6,0.7,0.7,1.5
2024-25,Nick Richards,CHO,21,21.0,8.9,5.4,0.561,0.0,0.000,4.1,0.678,7.5,1.3,0.3,1.2,1.6
2024-25,Josh Okogie,CHO,15,18.3,8.9,6.5,0.388,3.3,0.320,3.5,0.774,2.7,1.3,1.8,0.5,1.0
2024-25,Cody Martin,CHO,39,24.8,7.8,6.9,0.433,3.2,0.323,1.3,0.694,4.5,2.3,1.1,0.7,1.1
2024-25,KJ Simpson,CHO,36,23.4,7.8,8.4,0.346,3.6,0.254,1.4,0.820,3.0,3.1,0.9,0.2,1.6
2024-25,Vasilije Micic,CHO,36,21.2,7.5,7.6,0.348,3.5,0.360,1.1,0.829,2.4,3.5,0.4,0.0,2.1
2024-25,Josh Green,CHO,68,27.8,7.4,6.2,0.428,3.6,0.391,1.1,0.681,2.5,1.6,1.1,0.2,1.0
2024-25,Damion Baugh,CHO,15,24.7,7.3,8.7,0.323,3.7,0.214,1.0,0.867,3.3,3.7,1.0,0.1,2.1
2024-25,Jaylen Sims,CHO,6,18.7,7.0,4.7,0.429,2.5,0.400,2.5,0.800,1.0,2.0,0.5,0.2,1.3
2024-25,Marcus Garrett,CHO,4,19.8,7.0,6.8,0.407,2.0,0.375,1.0,0.750,1.5,3.3,0.8,0.5,1.5
2024-25,DaQuan Jeffries,CHO,47,22.8,6.7,6.2,0.405,3.5,0.335,0.6,0.800,2.9,1.1,0.6,0.5,0.7
2024-25,Seth Curry,CHO,68,15.6,6.5,5.0,0.478,2.7,0.456,0.6,0.846,1.7,0.9,0.4,0.1,0.5
2024-25,Isaiah Wong,CHO,20,13.3,6.0,5.3,0.390,1.7,0.394,1.7,0.735,1.6,1.4,0.6,0.0,0.9
2024-25,Tidjane Salaun,CHO,60,20.7,5.9,5.8,0.330,3.4,0.283,1.6,0.713,4.7,1.2,0.5,0.2,1.0
2024-25,Moussa Diabate,CHO,71,17.5,5.7,3.9,0.596,0.1,0.000,1.6,0.595,6.2,0.8,0.6,0.6,0.9
2024-25,Wendell Moore Jr.,CHO,16,17.5,5.4,4.8,0.474,1.7,0.370,0.5,0.625,3.2,1.2,0.6,0.1,1.1
2024-25,Malachi Flynn,CHO,4,11.0,4.0,3.3,0.385,1.0,0.250,1.5,0.833,1.8,1.8,0.8,0.0,1.0
2024-25,Taj Gibson,CHO,37,11.1,2.9,2.6,0.495,0.1,0.500,0.5,0.600,3.2,0.6,0.2,0.5,0.7
2024-25,Elfrid Payton,CHO,6,20.5,1.0,3.5,0.143,0.0,0.000,0.0,0.000,2.2,3.3,1.0,0.5,1.2
2024-25,Jared Rhoden,CHO,4,3.0,1.0,2.0,0.250,0.5,0.000,0.0,0.000,1.0,0.5,0.3,0.0,0.3
